學院,科系,招收,年級限制,成績要求,繳交資料,先修課程,測驗,備註,聯絡電話,課程備註,課程名稱
工學院,化學工程學系學士班,,,,,需修畢普通化學或普通化學(一)，且該科學期成績須達75分以上,,,分機62605,"c(""須修畢 必修 21 學分"", ""專業必修科目學分不足21學分時，得選修其他專業必修科目(詳見機械工程學系課程表)補足"", ""標示 * 的課程中至少選修三科"", ""標示 ** 的課程中至少選修一科"", ""若課程語原系所已修得的專業科目學分之課程名稱內容相符者，以成績單、原系所科目課程大綱等佐證資料，經本系該科目授課教師審核後，得以免修，其學分數須選修其他課程補足"", ""經免修審核後，若修習專業必修課木學分不足 21 學分時，方得選修本系專業選修科目學分補足"")","c(""單元操作(一)*"", ""單元操作(二)*"", ""單元操作(三)*"", ""化工熱力學*"", ""化學反應工程*"", ""普通化學實驗(一)**"", ""普通化學實驗(二)**"", ""有機化學實驗(一)**"", ""有機化學實驗(二)**"", ""物理化學實驗(一)**"", ""物理化學實驗(二)**"", ""化工程序實驗**"", ""單元操作實驗**"", ""質能均衡"", ""有機化學(一)"", ""有機化學(二)"", ""物理化學(一)"", ""物理化學(二)"", ""化學工業程序"", ""程序設計"")"
工學院,資源工程學系學士班,,,,須提出自傳和讀書計畫，以供審查小組審查。,,,,分機62801,,
工學院,材料科學及工程學系學士班,,,累計學年總平均78分以上。,,1. 普通物理（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。2. 普通化學（一）（二）各3學分，該科每學期均須及格且學年平均成績75分以上。,,,分機62908,"c(""須修畢 必修 21 學分"", ""材料科學導論、晶體結構與缺陷、相變態導論為必修課程"", ""除了必修課程外，其餘課程任選 12 學分"")","c(""材料科學導論"", ""晶體結構與缺陷"", ""相變態導論"", ""材料工程力學"", ""工程數學(一)"", ""結晶學與繞射概論"", ""量子物理導論"", ""工程數學(二)"", ""材料熱力學(一)"", ""材料熱力學(二)"", ""有機化學導論"", ""材料分析"", ""材料機械性質"")"
工學院,土木工程學系學士班,,,,,,,,分機63105,"c(""須修畢 必修 32 學分"", ""專業必修科目學分不足三十二學分時得選修下列專業選修科目補足"")","c(""微積分(一)"", ""微積分(二)"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""普通化學"", ""普通化學實驗"", ""計算機概論"", ""工程圖學(一)"", ""工程圖學(二)"", ""測量學"", ""測量學實習"", ""應用力學"", ""土木工程設計實務(甲)"", ""土木工程設計實務(乙)"", ""土木工程設計實務(丙)"", ""土木工程設計實務(丁)"", ""工程材料學"", ""工程材料學實驗"", ""動力學"", ""工程數學(一)"", ""工程數學(二)"", ""材料力學(一)"", ""流體力學"", ""土壤力學"", ""土壤力學實驗"", ""鋼筋混凝土學"", ""運輸工程學"", ""結構學(一)"", ""工程地質學"", ""工程計畫管理"", ""結構學(二)"", ""材料力學(二)"", ""基礎工程學"", ""計算機應用"", ""水文學"",  ""環境工程學"", ""公路工程學"", ""混凝土配合設計"", ""數值分析"", ""隧道工程學"", ""岩石力學"", ""鋼結構"", ""振動力學"", ""邊坡穩定與土工結構物"", ""瀝青材料實驗"", ""結構材料"", ""高等材料力學"",  ""預力混凝土學"",""鋼結構設計"", ""公路工程實務"", ""大地工程特論"", ""工程經濟"")"
工學院,水利及海洋工程學系學士班,,,,,,,,分機63205,,
工學院,工程科學系學士班,,,,,,,,分機63340,"c(""須修畢 必修 24 學分"", ""工程科學暨創新概論為必選課程"")","c(""工程力學"", ""工程圖學與模擬"", ""材料力學(一)"", ""程式設計"", ""工程動力學"", ""工程科學暨創新概論"", ""工程數學(一)"", ""電路學"", ""熱力學"", ""材料科學"", ""資料結構"", ""工程數學(二)"", ""電子學"", ""邏輯設計"", ""電子學實驗"", ""自動控制"", ""流體力學"", ""計算機組織與組合語言"", ""數值方法"", ""熱傳學"", ""近代物理"")"
工學院,能源工程國際學士學位學程學士班,,,前一學年學業成績平均達75分以上。,,,,,分機63637,"c(""須修畢 必修科目 22 學分"", ""標示 * 為任選必修科目，任選 12 學分"")","c(""能源科技概論"", ""能源實驗(一)"", ""能源實驗(二)"", ""能源工程實作(一)"", ""能源工程實作(二)"", ""熱力學*"", ""熱機學*"", ""流體力學*"", ""材料力學*"", ""工程材料科學*"", ""自動控制*"", ""熱傳學*"", ""儀器量測與訊號處理*"", ""生質能源*"", ""燃料電池*"", ""風力發電*"", ""燃燒學*"", ""太陽光電*"", ""太陽熱能*"")"
工學院,系統及船舶機電工程學系學士班,,,,,,,,分機63534轉200,"c(""須修畢 專業必修 12 學分，專業選修 3 學分，及分組專業選修 15 學分"", ""分組專業選修的五科須在同一組，共 15 學分"", ""標示 * 為專業必修課程"", ""標示 ** 為專業選修課程"", ""標示 ' 為分組專業選修中「船舶系統組」"", ""標示 \"" 為分組專業選修中「機電系統組」"")","c(""船舶與機電設計實務(一)*"", ""船舶與機電設計實務(二)*"", ""系統工程分析*"", ""系統設計理論*"", ""應用力學(一)**"", ""應用力學(二)**"", ""熱力學(一)**"", ""電路學**"", ""電子學(一)**"", ""流體力學(一)**"", ""材料力學**"", ""自動控制**"", ""船舶結構學'"", ""船舶靜力學'"", ""造機設計原理'"", ""船舶輔機'"", ""船舶阻力與推進'"", ""船舶實驗設計原理'"", ""船舶耐海與操控'"", ""遊艇設計'"", ""舟艇設計'"", ""電腦輔助設計與製造'"", ""電磁學\"""", ""電力系統\"""", ""工程量測與虛擬儀表設計\"""", ""微電腦控制\"""", ""電機機械\"""", ""機電系統整合\"""", ""線性系統分析\"""",  ""微機電系統概論\"""", ""資訊與通訊概論\"""", ""電子學(二)\"""", ""電腦輔助設計與製造\"""", ""數位影像處理\"""")"
工學院,航空太空工程學系學士班,,,,,,,,分機63637,"c(""須修畢 必修科目 20 學分(下列課程)"", ""標示 * 的課程中任選 8 學分"")","c(""航空發動機"", ""飛具結構學(一)"", ""飛行力學"", ""空氣動力學(一)"", ""航太工程概論*"", ""飛機設計*"", ""靜力學*"", ""動力學*"", ""工程材料科學*"", ""材料力學*"", ""飛機結構學(二)*"", ""控制系統導論*"", ""流體力學*"", ""空氣動力學(二)*"", ""熱力學(一)*"", ""熱力學(二)*"", ""熱傳學*"")"
工學院,環境工程學系學士班,,,,,,,,分機65806,"c(""須修畢 必修 9 學分，選修 12 學分"", ""所列課程必修共 38 學分，選足 9 學分，選修（含必選）共 30 學分，選足 12 學分"", ""標示 * 為必選課程"")","c(""工程數學(一)"", ""工程數學(二)"", ""流體力學(一)"", ""物理化學"", ""環境微生物學"", ""微生物學實驗"", ""工程統計學"", ""流體力學實驗"", ""空氣污染工程"", ""環境分析與實驗(一)"", ""給水工程"", ""固體廢棄物工程"", ""環境管理"", ""環境工程實作"", ""環工物理原理概論*"", ""電子及電工學*"", ""污水工程*"", ""環境工程設計(一)*"", ""環境化學"", ""環境經濟學"", ""環境分析與實驗(二)"", ""環境毒物學"", ""有害廢棄物處理"", ""環境工程設計(二)"")"
工學院,測量及空間資訊學系學士班,,,,,,,,分機63801,"c(""須修畢 必修課程 6 學分，選修課程 14 學分"", ""標示 * 者為必修課程，其餘所列課程為選修課程，任選 14 學分 **"")","c(""航測及遙測基礎*"", ""地理資訊基本原理*"", ""衛星定位*"", ""基礎測量學(一)"", ""基礎測量學實習(一)"", ""基礎測量學(二)"", ""基礎測量學實習(二)"", ""測量坐標與時間系統"", ""攝影測量學"", ""遙感探測"", ""地理資訊空間分析與應用"", ""大地測量(一)"", ""大地測量(二)"", ""測量總實習"")"
工學院,生物醫學工程學系學士班,,,,,,,,分機63405-102,"c(""須修畢 必修 24 學分"", ""下列課程共必修 48 學分"", ""「醫學工程導論」與 「醫學工程實驗」互為搭配之課程"", ""「解剖學」與 「解剖學實驗」互為搭配之課程"", ""「生理學」與「生理學實驗」互為搭配之課程"", ""「醫學儀表與量測」與「醫學儀表與量測實驗」互為搭配 之課程"",""近幾年「醫學工程導論」和「醫學工程實驗」的課程名稱一直有小幅的更動"")","c(""普通生物學"", ""計算機概論"", ""程式語言"", ""醫學工程導論—醫療器材創新啟蒙（一）"",""醫學工程導論—醫療器材創新啟蒙（二）"", ""醫學工程實驗—醫療器材創新實作（一）"", ""醫學工程實驗—醫療器材創新實作（二）"", ""工程數學(一)"", ""工程數學(二)"", ""解剖學"", ""解剖學實驗"", ""生理學"", ""生理學實驗"", ""電路學"", ""工程力學"", ""材料科學導論"", ""工程圖學"", ""生物統計學"", ""醫學儀表與量測"", ""醫學儀表與量測實驗"", ""醫療器材專利與法規"", ""臨床醫療概論"")"
管理學院,會計學系學士班,,,本校各院系學生申請時學業總平均達75分以上或總平均成績名次名列該班前30%者，方得申請。(成績及名次之總平均，自入學起計算至申請當年度1月31日止)。,,,,,分機 53434,"c(""須修畢 53 學分"",""原系科目如與本系科目相同者，可不必重修，但需選修本系其 他科目補足規定之學分數。 例：經濟系學生雙主修會計系，其中經濟學(一)(二)為經濟系必修 科目，該生必須另選會計系專業選修 6 學分課程(非上述表列科 目)以補足學分數。"",""凡本系每學期所開設專業選修科目皆可承認，含他系主開與會 計系合班課程。 例：交管系國際貿易等。(以本系實際開課課表為準)"",""申請時間：每學年7月10日至7月20日，遇假順延。申請結果當年8月底公告"")","c(""初級會計學(一)"", ""初級會計學(二)"", ""經濟學(一)"", ""經濟學(二 )"", ""中級會計學(一)"", ""中級會計學(二)"",  ""統計學(一)"", ""統計學(二)"", ""成本會計學(一)"", ""成本會計學(二)"",  ""微積分(一)"", ""審計學(一)"", ""審計學(二)"",  ""財務報表分析"",  ""企業資源規劃與資料探勘"", ""公司法及商業會計法"", ""所得稅法"")"
管理學院,統計學系學士班,,,,,,,,分機53633,"c(""須修畢 本系所定科目 20 學分以上"", ""主系與輔系之相同必修科目，不得兼充為輔系之科目學分"", ""除須修完統計學(一)(二)外，尚須依序修畢下列指定課程中 8 門科目中依序修畢20學分。如原系已修畢統計學6學分者，本科不算為雙主修學分"", ""統計諮詢、統計資料分析 二選一"")","c(""迴歸分析"", ""數理統計(一)"", ""數理統計(二)"", ""抽樣調查"", ""實驗設計"", ""無母數統計"", ""類別資料分析"", ""多變量分析"", ""統計諮詢"", ""統計資料分析"")"
管理學院,工業與資訊管理學系學士班,,,,,須修得微積分（一）（二）6學分，申請時學業總平均成績達75分以上者，方得申請。,,,分機53105,"c(""須修畢 必修 33 學分"", ""原系科目與本系雙主修科目相同或雷同者，不得修第二次，必須以在本 系所開的專業選修科目抵免（經系主任同意）"", ""必修科目若由本系老師開授，則必須在本系修讀，否則不予承認。"", ""下列課程共 24 學分，另外 9 學分從其餘專業必修科目中任選"", ""品質管理需先修統計學(一)(二)"")","c(""統計學(一)"", ""統計學(二)"", ""工業管理概論"", ""資訊管理概論"", ""計算機程式及應用"", ""作業研究(一)"",""作業研究(二)"", ""品質管理"", ""生產與作業管理"")"
管理學院,企業管理學系學士班,,,截至申請時學業成績總平均達80分以上，或平均成績名次名列該班前30%者，方得申請。,,,,,分機53305,"c(""須修畢必修 30 學分，選修 15 學分"", ""主系與輔系相同之必修科目，不得兼充為輔系之科目學分，但可 選修本系所開其他課程以抵充學分。"", ""標示 * 為必修任選課程(管理學、組織行為、企業政策）三選二，須全部在本系修讀"", ""選修課程可選修本系所開之任何課程"")","c(""會計學(一)"", ""會計學(二)"", ""經濟學(一)"", ""經濟學(二)"", ""微積分(一)"", ""微積分(二)"", ""統計學(一)"", ""統計學(二)"", ""管理學*"", ""組織行為*"", ""企業政策*"")"
管理學院,交通管理科學系學士班,,,,由本系審核： (1)申請表(學校註冊組首頁/申請表單下載)。(2)成績單。(3)自傳(含個人簡歷、對交通管理之認識、曾參與之研究計畫、獎勵、生活紀要、社團活動等)。 (4)其他有助於審查之相關資料(如語言能力檢定證明、推薦函等)。,修過微積分(一)、(二)共6學分或經濟學(一)、(二)共6學分且及格。,,,分機53237,"c(""須修畢 20 學分"", ""標示 * 為必選課程"", ""標示 ** 為 至少三選一的必修課程"")","c(""經濟學(一)"", ""經濟學(二)"", ""統計學(一)"", ""統計學(二)"", ""管理數學"", ""作業研究"", ""微積分(一)"", ""微積分(二)"", ""管理學"", ""會計學(一)"", ""會計學(二)"", ""公共運輸*"", ""運輸經濟*"", ""運輸管理*"", ""運輸規劃*"", ""交通工程**"", ""運輸工程**"", ""運輸安全**"")"
醫學院,護理學系學士班,不招收輔系生,,,,,,,06-2353535轉5034,,
醫學院,醫學檢驗生物技術學系學士班,不招收輔系生,,,,,,,06-2353535轉5781,"c(""須修畢 必修 20 學分"", ""下列課程共 12 科，任選 20 學分"")","c(""普通生物學(一)"", ""普通生物學(二)"", ""普通生物學實驗(一)"", ""普通生物學實驗(二)"", ""生物化學(一)"", ""生物化學(二)"", ""生物產業概論"", ""生物科技概論"", ""分子生物學"", ""生物技術核心實驗(一)"", ""生物技術核心實驗(二)"", ""細胞生物學"")"
醫學院,醫學系學士班,不招收輔系生,,,,,,,06-2353535轉5011,,
醫學院,物理治療學系學士班,不招收輔系生,,,,,,,06-2353535轉5028,,
醫學院,職能治療學系學士班,不招收輔系生,,,,,,,06-2353535轉5026,,
醫學院,藥學系學士班,不招收輔系生,,,,,,,06-2353535轉6800,,
醫學院,牙醫學系學士班,不招收輔系生,,,,,,,06-2353535轉5815,,
社會科學院,法律學系學士班,,,前一學年每學期學業成績平均須達75分以上或總名次在該班學生人數前20%以內。總名次計算至前一學年度第一學期為止。,,,,,分機56100,"c(""須修畢 21 學分"")","c(""憲法"",""行政法"",""民法總則"", ""民法債編總論"", ""刑法總則"", ""刑法分則"")"
社會科學院,政治學系學士班,,,學生前一學年平均成績須達75分以上。有特別理由經審查小組同意者，不在此限。,,,,,分機50255,"c(""須修畢 24 學分"",""包含：政治學概論（一）、政治學概論（二）、及其他本系之必、選修科目。選修外系課程須經系主任同意後始得抵免"")","c(""政治學概論（一）"", ""政治學概論（二）"")"
社會科學院,經濟學系學士班,,,前一學期成績排序需達全班名列前1/5。,,,,,分機56300,"c(""須修畢 必修 30 學分"", ""以上課程若已修畢外系所開而獲本系系主任同意免再修習者，仍應選讀「加修科目」補足48學分。「加修科目」之選擇範圍為本系系定選修課程（經濟分析工具及應用經濟領域）。惟統計學、微積分可開放至外系選修。"", ""加修科目」之選擇範圍為：公共財政學（3 學分）、貨幣銀行學（3 學分） 及本系系定選修課程（經濟分析工具及應用經濟領域）。"")","c(""經濟學原理(一)"", ""經濟學原理(二)"", ""統計學(一)"", ""統計學(二)"", ""個體經濟學(一)"", ""個體經濟學(二)"", ""總體經濟學(一)"", ""總體經濟學(二)"", ""國際金融"", ""國際貿易"")"
社會科學院,心理學系學士班,,,,,,,,分機56500,"c(""須修畢 必修 共 27 學分"", ""標示\""*\""的八個課程中任選四個修課"")","c(""心理學概論（一）"", ""心理學概論（二）"", ""心理實驗法（一）"", ""心理實驗法（二）"", ""心理與教育統計學（一）"", ""心理與教育統計學（二）*"", ""生理心理學*"", ""感覺與知覺*"", ""認知心理學*"", ""性格心理學*"", ""發展心理學*"", ""社會心理學*"", ""心理測驗*"")"
電機資訊學院,電機工程學系學士班,,,前一學期分數達83分（含）以上，或成績名次在該班學生人數20%以內。,歷年成績單、選課申請表(請至本系網頁自行下載)，須繳交至本系學士班承辦人處。,,,,分機62313,"c(""須修畢必修至少 28 學分，且不得改選其它必選或選修科目代替。"", ""若原學系必修課程與表列課程名稱相同，以致加修科目不足 28 學分時，學生得改選【E2電機系/N2電機所/Q1微電子所/Q3電通所/Q7奈米學程】之其它課程補足。例1. 機械系-計算機概論、電機系-計算機概論(一)：名稱不同 例2. 統計系-微積分(一)、電機系-微積分(一)：名稱相同"")","c(""微積分(一)"", ""微積分(二)"", ""計算機概論(一)"", ""計算機概論(二)"", ""線性代數"", ""工程數學(一)"", ""工程數學(二)"", ""電路學(一)"", ""電路學(二)"", ""電子學(一)"", ""電子學(二)"", ""電子學(三)"", ""電工實驗"", ""電機概論實驗"", ""控制工程實驗"", ""普通物理學(一)"", ""普通物理學(二)"", ""普通物理學實驗(一)"", ""普通物理學實驗(二)"", ""電機概論"", ""電儀表學"", ""控制工程"", ""電子電路實驗(一)"", ""電子電路實驗(二)"", ""電磁學(一)"", ""電磁學(二)"", ""邏輯系統實驗"", ""電儀表學實驗"", ""通訊實驗"")"
電機資訊學院,資訊工程學系學士班,,,前一學期年平均分數達75分以上(含)且成績名次在該班學生人數40%以內，由本系成立評審委員會審查。,系申請書(請至本系網頁下載)、校申請書、歷年成績單、學生證影印本。申請書請原系主任簽核後併同其他資料送至資訊系辦公室。,程式設計(一)及計算機概論且需在本系修習通過，方予承認。,,,分機62500-11,"c(""須修畢 先修課程 3 學分、必修 21 學分和選修 3 學分"", ""程式設計(一)為先修課程"", ""標示\""*\""的課程中任選二科"", ""選修：自本系開設之選修課程中任選一科"")","c(""程式設計(一)"", ""計算機組織"", ""資料結構"", ""作業系統"", ""演算法"", ""程式設計(二)*"", ""線性代數*"", ""數位電路導論*"", ""數位系統導論*"", ""數位系統實驗*"", ""微算機原理與應用（含實驗）*"", ""資訊專題(一)*"", ""資訊專題(二)*"")"
規劃與設計學院,建築學系學士班,,,須符合前一學年平均成績達70分以上。,,,,,分機54147,"c(""須修畢 26 學分"",""規定科目共20門課程，包含概論與歷史類課程；力學、材料、結構類課程；物理環境與環境控制類課程；建築設計系列課程；構造與施工類課程；以及都市設計與規劃類課程。""",
規劃與設計學院,都巿計劃學系學士班,,,,包括 (1)在校歷年成績單(須包含至申請期限時各學期完整成績)； (2)自傳；(3)讀書計畫(含申請動機)； (4)其他有利審查之資料(如：作品集...等)。收件處為本系助教室,,,,分機54237,"c(""須修畢 必修 18 學分，選修 4~6 學分"", ""**在這裡選修課程為所列課表中需要選修（任選幾科）的課程** 例：都市社會學納入選修學分數"", ""標示 * 的課程共有八科，任選二科，共計 4~6 學分"")","c(""都市計劃概論"", ""都市土地使用計劃"", ""規劃分析方法"", ""都市及區域規劃法規"", ""都市規劃與設計實習（一）"", ""都市規劃與設計實習（二）"", ""都市社會學*"", ""都市工程學*"", ""區域計劃概論*"", ""都市財政學*"", ""地理資訊系統概論*"", ""都市經濟學*"", ""都市交通計劃*"", ""都市設計*"")"
規劃與設計學院,工業設計學系學士班,,,本地生：學業成績名次列該班前1/5者。僑生：學業成績名次列該班前1/2者。,,曾修物理一學期及微積分一學期成績及格者。,性向檢定（含素描及空間概念）合格。(受理報名預定每年四月下旬，測驗日期預定五月中旬)，並於性向檢定前提出方可報名。,,分機54343,,
生物科學與科技學院,生命科學系學士班,,,前學期學業成績平均達75分,,,,,分機58121,"c(""須修畢 必修 17 學分，選修學分數 3~5 學分"", ""標示 * 的課程 共六科，任選 1~2 科，合計 3~5 學分"")","c(""普通生物學(一)"", ""普通生物學實驗(一)"", ""普通生物學(二)"", ""普通生物學實驗(二)"", ""生物化學(一)"", ""遺傳學"", ""微生物學*"", ""生態學*"", ""生物統計學*"", ""植物生理學*"", ""動物生理學*"", ""生物化學(二)*"")"
生物科學與科技學院,生物科技與產業科學系學士班,,,,申請表及歷年成績單。,,,,分機58202,,
