院 系 別,輔 系 條 件
"工學院
 測量及空間資訊學系學士班","申請條件：
 1. 應在原學系規定最低學分外加修測量及空間資訊學系20學分以上（包括測量及空間資訊專業必修科目），專業必修科目學分不足20學分時得選修專業選修科目補足。
申請時間：依國立成功大學各學系學生修讀輔系辦法。
連絡電話:分機63801"
"工學院
 生物醫學工程學系學士班","申請條件：無特殊條件限制
 修習規範： 
 1.加修生物醫學工程系為輔系之學生，除應修滿主系應修科目外，須在生物醫學工程系修讀所訂專業必修科目至二十四學分以上，始准取得本系輔系資格。
 2.專業必修科目與專業選修科目認定申請表請至生物醫學工程學系網頁下載
 申請時間：依學校公告為準。
連絡電話:分機63405-102"
"管理學院
 會計學系學士班","申請條件：
 1. 本校各院系學生申請時學業總平均達75分以上或總平均成績名次名列該班前30%者，方得申請。(成績及名次之總平均，自入學起計算至申請當年度1月31日止)。
 2. 本系輔系應修滿本系全部專業科目共53學分，輔系科目原則上必須全部在本系修讀。
 3. 申請須經本系所審查小組審查通過後，始具有本系輔系生身份。
申請時間：依註冊組公告為主。審查結果預計當年8月底公告於系網最新消息。
連絡電話 : 分機 53434"
"管理學院
統計學系學士班","申請條件：凡本校他系大學部學生修畢第一學年課程，得自第二學年開始至第四學年上學期止，申請本系為輔系。
申請時間：申請本系為輔系之學生，應於每年7月1日至8月20日前，將申請表及成績單(需含上一學期成績)送達系辦助教辦理。
連絡電話:分機53633"
"管理學院
工業與資訊管理學系學士班","申請條件：須修得微積分（一）（二）6學分，申請時學業總平均成績達75分以上者，方得申請。
申請時間：申請輔系應依本校行事曆規定日期於註冊組線上申請，逾期不再受理。
連絡電話:分機53105"
"管理學院
企業管理學系學士班","申請條件：本校各院系所學生截至申請時學業成績總平均達80分以上，或平均成績名次名列該班前30%者，方得申請。
申請時間：依學校公告日期。
連絡電話:分機53305"
"管理學院
 交通管理科學系學士班","申請條件：
 1. 修過微積分(一)、(二)共6學分或經濟學(一)、(二)共6學分且及格。
 2. 請繳交下列資料，由本系審核 : (1)申請表(學校註冊組首頁/申請表單下載)。(2)成績單。(3)自傳(含個人簡歷、對交通管理之認識、曾參與之研究計畫、獎勵、生活紀要、社團活動等)。 (4)其他有助於審查之相關資料(如語言能力檢定證明、推薦函等)。
申請日期：依學校公告。
連絡電話:分機53237"
"醫學院
 護理學系學士班","不招收輔系生
 連絡電話:06-2353535轉5034"
"醫學院
 醫學檢驗生物技術學系學士班","不招收輔系生
 連絡電話:06-2353535轉5781"
"醫學院
 醫學系學士班","不招收輔系生
 連絡電話:06-2353535轉5011"
"醫學院
 物理治療學系學士班","不招收輔系
 連絡電話:06-2353535轉5028"
"醫學院
 職能治療學系學士班","不招收輔系生
 連絡電話:06-2353535轉5026"
"醫學院
 藥學系學士班","本系不開放輔系申請。
 連絡電話:06-2353535轉6800"
"醫學院
 牙醫學系學士班","本系不開放輔系申請。
 連絡電話:06-2353535轉5815"
"社會科學院
 法律學系學士班","申請條件：外系學生加選本系為輔系，以大學部二年級以上學生，其前一學年每學期學業成績平均須達七十五分以上或總名次在該班學生人數前百分之二十以內。 各項規定以「國立成功大學法律學系修讀輔系辦法」為準。
申請時間：依學校公告日期。
備註：總名次計算至前一學年度第一學期為止
連絡電話:分機56100"
"社會科學院
政治學系學士班","申請條件：一、學生前一學年平均成績須達七十五分以上。二、有特別理由經審查小組同意者，不在此限。
申請時間：依學校公告日期。
連絡電話:分機50255"
"社會科學院
經濟學系學士班","申請條件：他系學生申請本系為輔系者，前一學期成績排序需達全班名列前1/5。
申請時間：學生申請修讀輔系，應依學校行事曆公告日期，向本系提出申請，經系主任及院長同意後，轉請教務處核定。
連絡電話:分機56300"
"社會科學院
心理學系學士班","申請條件：外系學生加修本系為輔系之審查，由本系組成審查小組處理之。
申請時間：依學校公告日期，經系主任及院長同意後，轉請教務處核定。
錄取名額：以不超過本系原核定新生名額之二成為限。
連絡電話:分機56500"
"電機資訊學院
 電機工程學系學士班","一、申請條件：前一學期分數達83分（含）以上，或成績名次在該班學生人數20%以內。
 二、修課規定：應在原學系規定最低學分外，加修電機系28個以上且須包括所有電機系專業必修科目學分；若因科目名稱重覆而不足28學分時，得選修電機系開設之必選或選修科目補足（但電機系所開之通識課程除外）
 三、繳交資料：歷年成績單、選課申請表(請至本系網頁自行下載)，須繳交至本系學士班承辦人處。
連絡電話:分機62313
"
"電機資訊學院
 資訊工程學系學士班","申請條件：
 一、招收名額：當學年錄取雙主修生與輔系生 名額合計總人數，以不超過教育部核定新生名額總和之二成為度。
 二、資格：前一學期年平均分數達75分以上(含)且成績名次在該班學生人數40 以內，由本系成立評審委員會審查。
 三、申請日期：依學校規定辦理。
 四、繳交資料：系申請書(請至本系網頁下載)、校申請書、歷年成績單、學生證影印本。申請書請原系主任簽核後併同其他資料送至資訊系辦公室。
 五、外系學生申請資訊系為輔系必須先完成先修科目如下方能申請，其他修課規定請參考系上網頁公告
 先修科目：程式設計(一)及計算機概論且需在本系修習通過，方予承認。
連絡電話:分機62500-11"
"規劃與設計學院
 建築學系學士班","申請條件：
 一、 依「國立成功大學學則」、「國立成功大學各學系學生修讀輔系辦法」、「國立成功大學各學系學生修讀雙主修辦法」規定。
 二、 本校他系學生申請輔系，須符合前一學年平均成績達70分以上。
 三、 修讀輔系者，須於校方規定之年限內，在原學系規定最低學分外加修畢建築系規定科目至少26學分。
 四、 擬選修之課程需符合電腦選課系統上限選條件之限制。
 五、通過本系輔系修課認定後，得取得本系4年制學系名稱之輔系認定。六、建築系輔系應修學分數及課程表公告於本系網頁
申請時間：依學校公告日期。
連絡電話:分機54147"
"規劃與設計學院
 都巿計劃學系學士班","申請條件： 
 1.符合本校「各學系學生修讀輔系辦法」規定。
 2.經本系審查小組(書面資料)審查通過。審查資料包括： (1)在校歷年成績單(須包含至申請期限時各學期完整成績)； (2)自傳；(3)讀書計畫(含申請動機)； (4)其他有利審查之資料(如：作品集...等)。
申請時間：依學校公告日期。收件處：本系助教室
連絡電話:分機54237"
"規劃與設計學院
 工業設計學系學士班","申請條件： 
 1.性向檢定（含素描及空間概念）合格。(受理報名預定每年四月下旬，測驗日期預定五月中旬)。
 2.曾修物理一學期及微積分一學期成績及格者。
 3.本地生學業成績名次列該班前1/5者，僑生學業成績名次列該班前1/2者。並於性向檢定前提出方可報名。
連絡電話:分機54343"
"生物科學與科技學院
 生命科學系學士班","申請條件：二年級（含）以上，且前學期學業成績平均達75分申請時間：依學校公告日期。
連絡電話:分機58121"
"生物科學與科技學院
生物科技與產業科學系學士班","申請資格:大學部2年級(含)以上。
申請時間：依本校規定期限內將申請表及歷年成績單送至系辦公室辦理。
修課規定: 輔系應修學分數及課程表請參閱生物科技與產業科學系網頁。
連絡電話:分機58202"
