院 系 別,轉 系 條 件,"可轉入名額
一般生","可轉入名額
僑生"
"管理學院
 會計學系學士班","一、平轉：
 1. 修滿3學分微積分(一)者，上學年學業總成績須名列該班前1/2；未修滿3學分微積分(一)者，上學年學業總成績須名列該班前1/10。
 2. 繳交自傳、讀書計畫及其它有利審查之資料。
 3. 經本系審查小組書面審查通過(或面談)。
 4. 轉系申請人為轉學生身分者，請附前一學校成績以利審查參考。
 二、降轉：同平轉。",11,1
"管理學院
 統計學系學士班","平轉：須提供有利審查之資料（含自傳、讀書計畫、轉系動機及成績單等），並符合下列條件：
 1.微積分修滿6學分且成績達70分以上者。
 2.前一學年總平均70分以上者。
 3.未修習微積分者，大一學業總成績須名列該班前1/5。
降轉：同平轉。",11,1
"管理學院
 工業與資訊管理學系
 學士班","平轉：須提供自傳、讀書計畫書、正式成績單及其他有利審查之資料，並同時符合下列4項條件：
 1.微積分修滿六學分，每學期均須及格且平均成績達65分以上。
 2.累積學業總平均70分以上。
 3.經審查小組通過後方可轉入。
 4.須提供每學期成績排名資訊。
 轉系審核程序:由本系學術委員會委員負責審查。
  
 降轉：同平轉。",11,2
"管理學院
 企業管理學系學士班","平轉：
 一、同系轉入本系之學生人數以不超過核定轉入本系全部名額1/3為原則。
 二、同院轉入本系之學生人數以不超過核定轉入本系全部名額1/2為原則。
 三、累計學業總成績75分以上；且累計學業總成績須排名達原班前1/5者。
 四、平轉只限定一年級轉二年級。
 五、須提供自傳、讀書計畫、正式成績單及其他有利審查之資料，待審查通過後，方可轉入。
  
降轉：本系僅接受二年級升三年級之學生申請轉入本系二年級者，其他條件同平轉。",11,1
"管理學院
 交通管理科學系學士
 班","平轉：
 一、須提供有利審查之資料：自傳(含個人簡歷、對交通管理之認識、曾參與之研究計畫、獎勵、生活紀要、社團活動等)、讀書計劃、語言能力檢定證明、推薦函等，而且須同時符合下列3項條件：
 1.累計學業總平均70分以上。
 2.修習微積分六學分且成績及格者。3.平均成績名次須名列該班前1/2。
二、經審查小組通過後方可轉入。
 降轉：同平轉。",11,1
"醫學院
 護理學系學士班","平轉：
 1.前一學年平均成績名次列該班前1/2者。
 2.一年級英文成績達80分以上。
 3.需經本系書面資料審查，（含自傳及讀書計畫），面談通過。
 降轉：同平轉。",8,1
"醫學院
 醫學檢驗生物技術學
 系學士班","平轉：
 1.學業成績累計平均80分以上。
 2.共同科目之英文成績須達75分以上或英文達本校免修或抵免之標準。
 3.申請者需提供自傳、在學成績單、轉系動機及讀書計畫，經本系審查通過後方可轉入。
 4.如有需要進行面試，將逕行通知。
  
 降轉：本系僅接受二年級升三年級之學生申請轉入本系二年級，其他條件同平轉。",8,1
"醫學院
 醫學系學士班",不招收轉系生。,0,0
"醫學院
 物理治療學系學士班","平轉：
 1.學業成績每學期皆平均80分以上或累積班排名前20%以內。。
 2.繳交自傳及讀書計畫(含各學年修課規劃表)。
 3.經本系審查小組書面審查及面談通過。
  
 降轉：同平轉。",7,1
"醫學院
 職能治療學系學士班","平轉：
 1.本校修業期間學期總平均80分以上且班排名前30％。非醫學院之學生，需附修習四類科中(生物、物理、化學、微積分)任一科2學分（或2學分以上）及格之成績單。
 2.共同科目之英文成績須達80分以上或英文達本校免修或抵免之標準。
 3.需經本系書面資料審查（含自傳及讀書計畫、與職能治療接觸之相
 關經驗）、面談通過。
  
 降轉：同平轉。
  
 備註：申請轉系之學生轉入後，應遵守本系之修業學分規定(含實習申請規定)，必須有延畢之心理準備，不應要求本系調整課程。",6,1
"醫學院
 藥學系學士班","平轉：
 1.累計學業總成績平均83分以上。
 2.所有申請者必須至少先修畢普通化學2學分、微積分（一）、（二）共4學分及普通生物學（一）、（二）共4學分，且成績均在83分以上。
 3.修畢英文課程4學分（含抵免），須修習模組二以上的英文且成績平均須達83分以上。或英文達本校免修之標準。
 4.繳交自傳及讀書計畫。
 5.經本系審查小組書面審查通過（若有需要進行面試將於書審後逕行通知）。
 6.每系（含學士學位學程）轉入以2名為限。
  
 降轉：同平轉。",4,1
"醫學院
 牙醫學系學士班",不招收轉系生。,0,0
"社會科學院
 法律學系學士班","平轉：
 （一）須截至前學期排名達原班前百分之三十（應有註冊單位或系主任證明）。
 （二）共同科目之國文、英文成績平均須達七十分以上或達本校免修或抵免之標準者。
 （三）外系轉入本系，本系僅接受原系級一年級升二年級，以及二年級升三年級之學生申請轉入本系二年級者。
 （四）須經本系審查通過並檢附曾修習法律課程之成績單等有利於審查之資料，無則免附。
 轉系生提出轉入本系申請時，應一併提出原就讀學系之成績單。
  
 降轉：本系僅接受二年級升三年級之學生申請轉入本系二年級者，其他條件同平轉。",12,1
"社會科學院
 政治學系學士班",政治學系110學年度轉系條件預計109年9月中旬公告於系網頁。,12,1
"社會科學院
 經濟學系學士班","平轉：
 一、前一學年平均成績名次列該班前1/3者。
 二、需經本系書面資料審查（含自傳、讀書計劃及在校成績）、面談通過。
 三、原同一學系轉入本系之學生人數以不超過當學年核定轉入本系全部名額1/3為原則。
  
 降轉：同平轉。",12,1
"社會科學院
 心理學系學士班","平轉：
 一、前一學期學業平均成績名次列該班的前二分之一者（應有註冊單位或系主任證明）。
 二、一學期之英文成績須達七十分以上，或達本校免修之標準；一學期之微積分或本系開設之心理學概論成績達六十分以上。
降轉：同平轉。
  
 ※轉系生提出轉入本系申請時，應一併繳交歷年成績單、申請理由書（格式不限）。轉系通過後應於註冊組公告期限內提出課程抵免申請。",11,1
"電機資訊學院
 電機工程學系學士班","平轉：
 本地生：前一學年或累計總平均83分（含）以上，或為全班前2名，微積分(一)(二)各3學分及普通物理學(一)(二)各3學分，且物理及微積分每學期均需80分（含）以上。每系轉入名額不得超過3名，須經本系審查小組通過。
 僑生：前一學年或累計總平均78分（含）以上，普通物理學(一)(二)各3學分及微積分(一)(二)各3學分平均成績70分（含）以上，且每
 學期均需及格，須經本系審查小組通過。
  
 降轉：同平轉",30,2
"電機資訊學院
 資訊工程學系學士班","本地生：
 1.總平均78分以上。
 2.提供轉系動機說明、修習過的程式相關課程及該課程大綱、和其他有利審查資料，經本系審查小組通過方可轉入。
  
 僑生：
 1.總平均70分以上
 2.提供轉系動機說明、修習過的程式相關課程及該課程大綱、和其他有利審查資料，經本系審查小組通過方可轉入。
  
 降 轉：
 1.第一學年總平均78分以上，或累記至目前的學業總平均75分以上
 2.提供轉系動機說明、修習過的程式相關課程及該課程大綱、和其他有利審查資料，經本系審查小組通過方可轉入。",22,2
"規劃與設計學院
 建築學系學士班","平轉：
 一、只招收轉到大二的學生，但其他特殊因素經本系課程委員會通過者亦得提出申請。
 二、初審階段須參加建築系性向測驗合格且通過面試審查者。(初審通過以及初審遞補名單公告在建築系網頁)
 三、複審階段具備申請前歷年學業成績加權平均70分以上者。
 四、初複審均通過者才得向註冊組提出轉系申請，但初審遞補名單將俟缺額才遞補，最後錄取名單統一由註冊組公告。
 五、大一不分系學士學程在大二分發前須修建築設計(一)、建築設計(二)、建築圖學等3科課程，各科成績均須達70分以上(含)。依據建築設計(一)(二)的平均分數從高依序分發並以5名為上限(同分參照順序:1.歷年學業成績加權平均分數、2.建築圖學分數)。
 
 註:建築系轉系申請預定於5月上旬受理，性向測驗則預定在每年6月中下旬辦理，性向測驗通過者才通知面試。
  
 降轉:同平轉。",11,1
"規劃與設計學院
 都巿計劃學系學士班","平轉：申請者須提供自傳、轉系動機、讀書計畫、在校成績及其他有利審查之資料，經本系審查小組審查通過後，方可轉入。(若有需要進行面試，將於書面資料審查後逕行通知)
  
 降轉：同平轉。
  
 如申請者為轉學生身分者，須附前一學校成績單。",11,1
"規劃與設計學院
 工業設計學系學士班","平轉：
 一、性向檢定（含素描及空間概念）合格。（受理報名預定每年四月下旬，測驗日期預定五月中旬）。
 二、曾修物理一學期及微積分一學期成績及格者。（如轉系成功，將依本系學分抵免規定，辦理物理及微積分抵免。）
 三、累計學業成績總平均75分以上。
  
 降轉：同平轉。",9,1
"生物科學與科技學院
 生命科學系學士班","平轉：須經本系書面資料（含自傳、讀書計畫、在校成績及其他有利審查之資料）審查通過。
  
 降轉：同平轉。",11,1
"生物科學與科技學院
 生物科技與產業科學
 系學士班","平轉：
 1. 須經本系書面資料（含自傳、讀書計畫、在校成績及其他有利審查之資料）審查通過。
 2. 國文、英文成績需達65分或GPA2.0，並繳交2封推薦信、轉系之書面理由及轉系申請資料表，由本系審查小組書面審核通過後予以面試。
 3. 轉系生錄取名額以不超過本系原核定新生名額連同教育部分發新僑生名額之20％為限。
  
降轉：同平轉。",7,1
